"COL_PROJECT_ID","COL_COVER_PAR","COL_COVER_POL","COL_PRIORITY","COL_SUBJ_OWNER","COL_NAME","COL_PLACE_CODE","COL_SUBJ_CODE","COL_YEAR_START","COL_YEAR_END","COL_COST_IN_EXP_ALL","COL_COST_ALL","COL_COST_FILL_TO_BEF_2","COL_COST_FILL_TO_BEF_1","COL_COST_NEED_0","COL_COST_NO_PUMP_BEF_1","COL_COST_GR_A_0","COL_COST_ALT_SRC_REQ","COL_COST_GR_F_0","COL_COST_GR_B_0","COL_COST_GR_C_0","COL_COST_GR_A_1","COL_COST_GR_C_1","COL_COST_GR_SUM_1","COL_COST_GR_A_2","COL_COST_GR_C_2","COL_COST_GR_SUM_2","COL_COST_GR_A_3","COL_COST_GR_C_3","COL_COST_GR_SUM_3","COL_COST_AFT",
"0201/22","6330","6363",1,"MOb Mariánské Hory a Hulváky","Vımìna plynovıch rozvodù v bytovıch domech","Mariánské Hory a Hulváky","MOb Mariánské Hory a Hulváky",2023,2027,0,31291830,0,5524642,0,0,0,0,0,0,0,0,13767188,13767188,0,6000000,6000000,0,6000000,6000000,0,
"0923/19","6330","6363",3,"MOb Radvanice a Bartovice","Rekonstrukce a rozšíøení MK - ul. Bøezová - 3. etapa","Radvanice a Bartovice","MOb Radvanice a Bartovice",2017,2025,0,6599403,3599403,0,0,0,0,0,0,0,0,1800000,1200000,3000000,0,0,0,0,0,0,0,
"0329/22","3631","6121",1,"odbor investièní (ORJ 230)","Rekonstrukce VO ul. Nádraní I. èást","Moravská Ostrava a Pøívoz","Magistrát mìsta Ostravy",2022,2024,0,13296665,0,10536665,2760000,2760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"0119/18","6330","6363",3,"MOb Nová Ves","Rekonstrukce a zateplení kulturního domu","Nová Ves","MOb Nová Ves",2016,2027,0,21003377,203377,0,0,0,0,0,0,0,0,640000,160000,800000,9000000,1000000,10000000,9000000,1000000,10000000,0,
"0504/19","3412","6313",1,"Sportovní a rekreaèní zaøízení mìsta Ostravy, s.r.o.","Rekonstrukce bazénové haly Vodní svìt !!!","Moravská Ostrava a Pøívoz","Sportovní a rekreaèní zaøízení mìsta Ostravy, s.r.o.",2021,2026,0,84732000,322000,1920000,42000000,0,42000000,0,0,0,0,33000000,0,33000000,7490000,0,7490000,0,0,0,0,
"0121/21","3312","6351",3,"Janáèkova filharmonie Ostrava","Koncertní køídlo ","Moravská Ostrava a Pøívoz","Janáèkova filharmonie Ostrava",2027,2027,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,3000000,7000000,0,
"0138/23","2310","6121",1,"odbor investièní (ORJ 230)","Rekonstrukce vodovodu a kanalizace v Pøívoze, oblast Kosmova,","Moravská Ostrava a Pøívoz","Magistrát mìsta Ostravy",2022,2025,0,9522000,0,0,823000,0,143000,0,680000,0,0,1509000,7190000,8699000,0,0,0,0,0,0,0,
"0138/23","2321","6121",1,"odbor investièní (ORJ 230)","Rekonstrukce vodovodu a kanalizace v Pøívoze, oblast Kosmova,","Moravská Ostrava a Pøívoz","Magistrát mìsta Ostravy",2022,2025,0,3630000,0,0,0,0,0,0,0,0,0,630000,3000000,3630000,0,0,0,0,0,0,0,
"0160/22","4350","6351",1,"Domov pro seniory Kamenec, Slezská Ostrava","Nákup 4 ks transportních vozíkù stravovacího provozu","Slezská Ostrava","Magistrát mìsta Ostravy",2024,2024,0,200000,0,0,200000,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"0065/21","3741","6351",3,"Zoologická zahrada a botanickı park Ostrava","Skleník kaloòù a motılárium ","Slezská Ostrava","Zoologická zahrada a botanickı park Ostrava",2020,2028,0,78866504,166504,0,0,0,0,0,0,0,0,0,0,0,0,2500000,2500000,0,0,0,76200000,
