Datum,Stanice,Třída objektu,Počet
04.01.2024 1:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,1
04.01.2024 2:00,Novinářská x 28. října - od Fifejd,Ostatní,3
04.01.2024 2:00,Novinářská x 28. října - od Poruby,Ostatní,1
04.01.2024 2:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,1
04.01.2024 2:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,3
04.01.2024 2:00,Hlučínská x Slovenská - od Švermy,Ostatní,5
04.01.2024 2:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,2
04.01.2024 3:00,Novinářská x 28. října - od Fifejd,Ostatní,6
04.01.2024 3:00,Novinářská x 28. října - od Vítkovic,Velké,1
04.01.2024 3:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,1
04.01.2024 3:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,3
04.01.2024 3:00,Hlučínská x Slovenská - od Švermy,Ostatní,2
04.01.2024 3:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,2
04.01.2024 3:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,2
04.01.2024 4:00,Novinářská x 28. října - od Fifejd,Ostatní,22
04.01.2024 4:00,Novinářská x 28. října - od Fifejd,Velké,2
04.01.2024 4:00,Novinářská x 28. října - od Vítkovic,Ostatní,5
04.01.2024 4:00,Novinářská x 28. října - od centra,Ostatní,1
04.01.2024 4:00,Novinářská x 28. října - od Poruby,Ostatní,2
04.01.2024 4:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,1
04.01.2024 4:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,6
04.01.2024 4:00,Hlučínská x Slovenská - od Švermy,Ostatní,16
04.01.2024 4:00,Hlučínská x Slovenská - od Přívozu,Ostatní,1
04.01.2024 4:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,7
04.01.2024 4:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,3
04.01.2024 5:00,Novinářská x 28. října - od Fifejd,Ostatní,48
04.01.2024 5:00,Novinářská x 28. října - od Fifejd,Velké,4
04.01.2024 5:00,Novinářská x 28. října - od Vítkovic,Ostatní,30
04.01.2024 5:00,Novinářská x 28. října - od Vítkovic,Velké,4
04.01.2024 5:00,Novinářská x 28. října - od centra,Ostatní,2
04.01.2024 5:00,Novinářská x 28. října - od Poruby,Ostatní,28
04.01.2024 5:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,1
04.01.2024 5:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,10
04.01.2024 5:00,Bohumínská x 28. října - směr Přívoz,Ostatní,2
04.01.2024 5:00,Hlučínská x Slovenská - od Švermy,Ostatní,48
04.01.2024 5:00,Hlučínská x Slovenská - od Přívozu,Ostatní,16
04.01.2024 5:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,6
04.01.2024 5:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,3
04.01.2024 5:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,2
04.01.2024 5:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,1
04.01.2024 6:00,Novinářská x 28. října - od Fifejd,Ostatní,75
04.01.2024 6:00,Novinářská x 28. října - od Fifejd,Velké,2
04.01.2024 6:00,Novinářská x 28. října - od Vítkovic,Ostatní,73
04.01.2024 6:00,Novinářská x 28. října - od Vítkovic,Velké,4
04.01.2024 6:00,Novinářská x 28. října - od centra,Ostatní,10
04.01.2024 6:00,Novinářská x 28. října - od Poruby,Ostatní,46
04.01.2024 6:00,Novinářská x 28. října - od Poruby,Velké,1
04.01.2024 6:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,11
04.01.2024 6:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,19
04.01.2024 6:00,Bohumínská x 28. října - směr Přívoz,Ostatní,2
04.01.2024 6:00,Hlučínská x Slovenská - od Švermy,Ostatní,125
04.01.2024 6:00,Hlučínská x Slovenská - od Přívozu,Ostatní,27
04.01.2024 6:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,17
04.01.2024 6:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,1
04.01.2024 6:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,4
04.01.2024 7:00,Novinářská x 28. října - od Fifejd,Ostatní,95
04.01.2024 7:00,Novinářská x 28. října - od Fifejd,Velké,3
04.01.2024 7:00,Novinářská x 28. října - od Vítkovic,Ostatní,80
04.01.2024 7:00,Novinářská x 28. října - od Vítkovic,Velké,6
04.01.2024 7:00,Novinářská x 28. října - od centra,Ostatní,36
04.01.2024 7:00,Novinářská x 28. října - od Poruby,Ostatní,77
04.01.2024 7:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,23
04.01.2024 7:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,25
04.01.2024 7:00,Bohumínská x 28. října - směr Přívoz,Ostatní,8
04.01.2024 7:00,Hlučínská x Slovenská - od Švermy,Ostatní,225
04.01.2024 7:00,Hlučínská x Slovenská - od Přívozu,Ostatní,34
04.01.2024 7:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,53
04.01.2024 7:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,6
04.01.2024 7:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,8
04.01.2024 7:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,3
04.01.2024 8:00,Novinářská x 28. října - od Fifejd,Ostatní,255
04.01.2024 8:00,Novinářská x 28. října - od Fifejd,Velké,1
04.01.2024 8:00,Novinářská x 28. října - od Vítkovic,Ostatní,171
04.01.2024 8:00,Novinářská x 28. října - od Vítkovic,Velké,4
04.01.2024 8:00,Novinářská x 28. října - od centra,Ostatní,91
04.01.2024 8:00,Novinářská x 28. října - od Poruby,Ostatní,147
04.01.2024 8:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,64
04.01.2024 8:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,29
04.01.2024 8:00,Bohumínská x 28. října - směr Přívoz,Ostatní,78
04.01.2024 8:00,Hlučínská x Slovenská - od Švermy,Ostatní,227
04.01.2024 8:00,Hlučínská x Slovenská - od Přívozu,Ostatní,58
04.01.2024 8:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,73
04.01.2024 8:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,1
04.01.2024 8:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,28
04.01.2024 8:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,3
04.01.2024 9:00,Novinářská x 28. října - od Fifejd,Ostatní,229
04.01.2024 9:00,Novinářská x 28. října - od Vítkovic,Ostatní,189
04.01.2024 9:00,Novinářská x 28. října - od Vítkovic,Velké,5
04.01.2024 9:00,Novinářská x 28. října - od centra,Ostatní,107
04.01.2024 9:00,Novinářská x 28. října - od Poruby,Ostatní,177
04.01.2024 9:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,60
04.01.2024 9:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,25
04.01.2024 9:00,Bohumínská x 28. října - směr Přívoz,Ostatní,91
04.01.2024 9:00,Hlučínská x Slovenská - od Švermy,Ostatní,205
